"condition" "subject" "block" "acc_mean" "rt_mean"
1 10 27 0.44 1.075664
1 11 27 0.44 0.64172
1 12 27 0.2 3.368136
1 13 27 0.12 1.103452
1 15 27 0.24 1.033856
1 16 27 0.12 1.650084
1 18 27 0.28 0.435896
1 19 27 0.12 0.47176
1 20 27 0.32 0.473608
1 21 27 0.32 0.321856
1 23 27 0.24 1.711936
1 24 27 0.24 2.261248
1 26 27 0.44 0.576184
1 27 27 0.12 0.548896
1 28 27 0.28 0.668868
1 29 27 0.04 3.263072
1 30 27 0.28 0.455848
1 2 28 0.24 0.471972
1 3 28 0.28 0.513788
1 5 28 0.2 0.928952
1 6 28 0.36 0.572728
1 7 28 0.2 0.528072
1 9 28 0.28 3.11162
1 10 28 0.24 0.71068
1 11 28 0.36 1.028744
1 12 28 0.28 0.191764
1 13 28 0.04 1.235192
1 15 28 0.12 0.82062
1 16 28 0.32 0.690256
1 18 28 0.2 0.375144
1 19 28 0.4 0.309244
1 20 28 0.2 0.407484
1 21 28 0.32 0.673532
1 23 28 0.08 0.463824
1 24 28 0.2 2.678544
1 26 28 0.32 0.544152
1 27 28 0.32 0.991492
1 28 28 0.32 0.691288
1 29 28 0.28 3.909624
1 30 28 0.28 0.403396
1 2 29 0.64 0.861352
1 3 29 0.32 0.331976
1 5 29 0.8 1.223684
1 6 29 0.28 0.379228
1 7 29 0.16 0.51008
1 9 29 0.48 1.302796
1 10 29 0.32 0.893212
1 11 29 0.4 0.719144
1 12 29 0.36 1.029232
1 13 29 0.52 1.782148
1 15 29 0.52 1.075936
1 16 29 0.32 0.885264
1 18 29 0.24 0.729484
1 19 29 0.76 1.315368
1 20 29 0.36 0.477348
1 21 29 0.24 0.424664
1 23 29 0.2 0.285908
1 24 29 0.2 3.781236
1 26 29 0.2 0.532716
1 27 29 0.32 2.373928
1 28 29 0.12 2.787276
1 29 29 0.48 5.820472
1 30 29 0.16 0.575456
1 2 30 0.64 0.949508
1 3 30 0.28 0.638696
1 5 30 0.8 1.08818
1 6 30 0.24 0.378212
1 7 30 0.24 0.568216
1 9 30 0.6 1.447644
1 10 30 0.28 0.684412
1 11 30 0.48 0.80816
1 12 30 0.12 3.159884
1 13 30 0.84 1.762504
1 15 30 0.68 1.703524
1 16 30 0.2 0.615272
1 18 30 0.36 0.627204
1 19 30 0.88 1.484112
1 20 30 0.32 0.55192
1 21 30 0.4 0.60956
1 23 30 0.32 1.681816
1 24 30 0.44 2.577412
1 26 30 0.32 0.520692
1 27 30 0.12 0.648364
1 28 30 0.28 1.036344
1 29 30 0.72 1.602772
1 30 30 0.24 0.692724
1 2 31 0.28 0.773308
1 3 31 0.24 0.34304
1 5 31 0.76 1.076884
1 6 31 0.2 0.589804
1 7 31 0.32 0.62524
1 9 31 0.6 1.69866
1 10 31 0.36 0.748232
1 11 31 0.48 0.82382
1 12 31 0.24 0.531324
